point_id,latitude,longitude,elevation_m
P00001,26.983857,95.492225,980.38
P00002,23.491337,92.676234,597.57
P00003,25.144027,94.110997,896.42
P00004,23.470979,93.085546,865.95
P00005,25.368506,93.641518,513.32
P00006,26.211362,90.777979,474.43
P00007,26.753578,92.837962,998.63
P00008,26.313194,96.036825,494.62
P00009,26.042429,90.934596,300.0
P00010,26.629083,94.743551,485.28
P00011,25.41584,91.74589,452.56
P00012,24.820847,93.580866,628.89
P00013,24.485296,90.680066,894.92
P00014,25.364103,94.125594,781.8
P00015,26.478142,93.67916,383.4
P00016,28.678932,94.386194,1460.2
P00017,23.475954,93.957488,894.82
P00018,24.509419,94.279955,937.39
P00019,24.739339,94.040245,636.77
P00020,25.46128,92.784891,1102.41
P00021,24.835121,93.339527,858.08
P00022,24.765236,94.662692,1049.93
P00023,23.297484,93.817232,658.88
P00024,26.369898,95.065832,731.9
P00025,24.930636,93.852492,579.05
P00026,24.817901,93.318054,889.94
P00027,25.593016,90.861805,441.33
P00028,26.550275,92.633859,908.16
P00029,26.975364,95.023843,395.65
P00030,23.56006,93.542496,407.58
P00031,24.126396,92.612505,840.74
P00032,24.770752,93.599954,1005.19
P00033,25.616944,94.787597,627.29
P00034,27.171134,93.631098,895.32
P00035,25.713792,91.562397,300.0
P00036,27.076711,92.288842,1256.17
P00037,27.56423,96.469604,1739.36
P00038,24.284489,93.066987,387.68
P00039,26.698494,93.981182,547.27
P00040,25.924013,92.423976,533.18
P00041,25.629704,94.285315,822.17
P00042,24.194605,94.114954,537.54
P00043,27.426329,96.188001,1234.73
P00044,26.326241,95.458059,1105.54
P00045,25.043792,93.214446,613.35
P00046,25.048051,94.040308,471.78
P00047,24.666666,93.352916,1021.46
P00048,26.08711,91.333448,437.19
P00049,25.249523,92.211198,942.23
P00050,24.804638,93.635434,718.73
P00051,25.578448,93.027587,694.28
P00052,23.07021,94.224896,514.22
P00053,25.959673,92.583734,415.42
P00054,25.482939,94.698774,739.03
P00055,26.111056,94.767436,545.72
P00056,23.809055,91.995923,740.27
P00057,25.502163,93.973391,704.28
P00058,22.0,92.941534,383.96
P00059,26.811433,89.315446,1037.69
P00060,27.638776,90.255449,1021.86
P00061,25.205625,93.322806,656.34
P00062,27.550293,92.423486,862.94
P00063,25.733255,93.760952,722.43
P00064,25.665669,93.483339,695.79
P00065,25.786195,88.94943,878.94
P00066,26.270025,95.496976,611.07
P00067,26.674489,94.900966,676.32
P00068,29.5,90.740488,1160.99
P00069,28.267555,91.933461,1299.88
P00070,26.075942,93.330071,427.67
P00071,28.068234,94.017492,1258.65
P00072,24.307507,94.247993,300.0
P00073,24.890521,94.045021,636.53
P00074,27.121412,92.937825,748.75
P00075,26.701494,93.497324,750.13
P00076,24.789943,93.737613,545.99
P00077,29.5,92.073714,1111.0
P00078,25.097687,92.822387,300.0
P00079,28.427481,94.685862,1490.71
P00080,22.951844,93.252037,377.97
P00081,23.463285,93.943719,747.92
P00082,25.00485,93.354674,1070.07
P00083,23.37566,93.623959,623.7
P00084,24.67749,93.63592,641.68
P00085,22.448905,92.094296,794.94
P00086,25.965341,93.426457,1175.11
P00087,26.033402,94.686874,522.43
P00088,24.210336,92.142433,626.49
P00089,23.003481,92.861625,471.06
P00090,24.114293,95.557883,598.12
P00091,23.280676,93.232291,673.97
P00092,23.47272,94.306223,761.13
P00093,25.145571,93.994151,851.82
P00094,26.567376,91.672719,1246.09
P00095,25.919276,89.977915,448.61
P00096,27.64355,96.310785,1224.95
P00097,26.927776,95.073386,978.03
P00098,27.412185,94.616532,963.23
P00099,25.607647,94.48958,318.84
P00100,25.130448,91.088128,300.0
P00101,23.482493,93.023642,860.35
P00102,24.833349,95.218168,534.96
P00103,25.145298,91.969721,647.83
P00104,26.452016,96.044326,930.79
P00105,27.516954,93.730609,1363.07
P00106,25.746193,91.968989,911.14
P00107,24.397831,93.136699,800.22
P00108,25.824148,92.397562,499.41
P00109,24.792878,94.011318,557.1
P00110,25.024776,91.106937,533.91
P00111,26.434165,91.941803,300.0
P00112,24.749934,94.67932,1267.95
P00113,23.279815,91.939814,794.17
P00114,25.974479,90.936827,446.54
P00115,29.129957,91.431308,1592.67
P00116,25.84441,92.398386,300.0
P00117,26.409088,94.701221,782.01
P00118,24.725373,91.434039,512.86
P00119,28.238206,90.760091,957.57
P00120,25.306586,93.235495,722.44
P00121,26.349253,91.643142,300.0
P00122,27.469884,90.364205,1254.6
P00123,25.964572,91.674612,675.52
P00124,26.837429,95.785623,970.95
P00125,27.709643,95.107266,1495.2
P00126,24.387676,94.086342,769.34
P00127,27.187552,92.208158,983.78
P00128,26.106113,94.534454,931.95
P00129,23.928317,94.212414,873.62
P00130,25.666639,92.204278,1009.25
P00131,25.847753,94.764275,539.14
P00132,28.388997,93.10115,1362.75
P00133,25.540975,91.832558,340.14
P00134,24.26576,93.09273,658.64
P00135,26.537436,95.689843,914.64
P00136,26.318506,94.382621,949.73
P00137,25.417334,93.817579,544.71
P00138,24.095128,95.213481,625.34
P00139,28.141576,94.0571,923.57
P00140,29.305438,89.636263,1017.05
P00141,27.712081,93.236136,1143.89
P00142,25.548502,93.384377,843.12
P00143,25.990429,90.595238,614.49
P00144,23.716578,92.740375,427.06
P00145,26.992466,93.301609,1378.24
P00146,25.977694,93.987177,625.38
P00147,25.804084,92.293123,872.26
P00148,24.465925,93.263017,600.89
P00149,24.69621,92.669201,516.32
P00150,25.549178,94.167905,651.7
P00151,23.065358,94.272144,423.78
P00152,26.301314,94.838041,738.79
P00153,24.059365,93.843093,682.1
P00154,25.692251,95.361071,676.22
P00155,26.368786,95.791537,409.54
P00156,24.071512,92.629296,329.06
P00157,27.255192,94.091275,1521.68
P00158,24.955328,91.479915,300.0
P00159,25.845881,94.252783,849.72
P00160,29.5,90.117557,1387.06
P00161,28.057001,95.81474,1309.18
P00162,27.234965,94.638915,1612.67
P00163,25.807166,90.545315,660.84
P00164,24.396024,93.989656,969.12
P00165,25.886299,93.231733,581.28
P00166,23.508713,92.437903,488.38
P00167,28.902095,92.851843,1502.34
P00168,24.997123,94.348091,685.31
P00169,29.157502,91.477439,1332.51
P00170,26.103735,94.464956,1230.37
P00171,25.641227,93.310627,448.2
P00172,26.446057,88.606519,982.6
P00173,24.895647,93.397894,490.89
P00174,27.181069,94.030982,1088.23
P00175,27.698128,95.347566,1186.98
P00176,22.097309,94.671987,832.42
P00177,27.580967,95.712388,1130.03
P00178,25.106936,93.441481,423.87
P00179,22.694655,92.032319,434.25
P00180,27.800162,89.815987,1397.58
P00181,23.992897,93.900643,502.62
P00182,25.84796,94.321401,850.92
P00183,26.549614,96.592587,1484.82
P00184,25.081438,89.393753,300.0
P00185,26.455071,93.312947,811.33
P00186,26.097957,94.708796,1128.32
P00187,27.949012,90.308465,1327.62
P00188,26.158852,93.150124,1029.39
P00189,28.0543,94.88989,1356.04
P00190,25.721974,91.944182,612.61
P00191,29.165499,94.710195,1115.98
P00192,27.562434,94.252015,949.41
P00193,25.80206,93.694817,755.44
P00194,24.805989,93.996785,1023.92
P00195,25.005384,92.942253,605.55
P00196,25.796559,92.515926,558.74
P00197,27.848573,94.933481,1410.02
P00198,26.622512,94.137008,752.05
P00199,28.186537,91.066423,1689.31
P00200,29.336202,95.443056,1714.67
P00201,27.253644,95.128478,1439.82
P00202,25.302365,91.811585,1065.31
P00203,26.183977,88.645461,1096.95
P00204,28.914551,90.039576,1424.73
P00205,27.769556,92.250327,1043.31
P00206,27.038466,95.127536,862.88
P00207,27.444891,93.754559,1581.51
P00208,24.464298,94.088052,866.3
P00209,26.721107,91.85184,1257.63
P00210,24.136622,94.482482,776.11
P00211,23.892164,91.841389,618.78
P00212,26.291664,93.582215,455.3
P00213,24.551003,93.017133,637.98
P00214,24.338004,92.226429,920.18
P00215,24.163309,92.0809,1068.36
P00216,26.430484,93.302537,1179.73
P00217,24.88817,94.135145,423.41
P00218,26.094047,92.359661,442.12
P00219,26.800681,95.534803,962.87
P00220,27.670215,95.940909,1486.55
P00221,23.466288,93.523634,781.95
P00222,25.311103,94.167184,790.35
P00223,27.930897,95.431117,1536.15
P00224,25.253159,91.724972,941.57
P00225,25.335847,93.257732,827.0
P00226,25.761641,94.782312,903.74
P00227,24.133405,94.082507,747.01
P00228,25.265448,91.070107,300.0
P00229,26.020855,94.574227,904.71
P00230,25.159963,92.507444,921.52
P00231,25.938005,94.869266,511.5
P00232,25.338628,94.028301,886.65
P00233,27.105554,93.734472,1151.81
P00234,29.074079,95.799893,1837.78
P00235,26.795766,92.55586,662.42
P00236,27.193482,95.095833,1382.52
P00237,28.025963,89.940913,903.34
P00238,24.981647,92.442993,492.24
P00239,26.279431,94.179282,726.52
P00240,27.311778,93.977568,421.22
P00241,24.862058,93.686499,300.0
P00242,24.007562,93.612561,427.8
P00243,28.728706,90.144958,970.42
P00244,26.860331,94.114747,938.54
P00245,26.221505,94.834733,576.31
P00246,25.261992,93.049243,946.41
P00247,28.768935,95.318433,1156.37
P00248,29.086105,92.538206,958.77
P00249,25.679657,92.670355,778.39
P00250,25.992824,93.492346,931.03
P00251,24.794513,93.364167,1058.83
P00252,26.497137,92.697851,561.33
