rainfall_24h_mm,rainfall_7d_mm,slope_deg,landslide
50.11,100.43,27.31,1
23.61,127.91,34.67,1
21.58,244.11,24.71,0
34.9,152.05,22.71,1
78.79,194.96,37.03,1
41.9,252.7,23.84,1
14.73,137.97,29.87,0
8.73,263.21,28.3,0
65.62,155.9,37.01,0
96.12,133.01,20.52,1
6.57,134.25,43.8,1
67.16,204.22,17.61,1
49.25,137.3,30.93,1
18.07,172.5,28.99,0
42.32,83.97,16.67,0
12.52,169.6,32.33,0
30.16,90.19,21.42,0
36.42,86.62,13.48,0
84.79,219.55,34.55,1
28.98,76.34,10.45,0
19.9,47.82,15.05,0
46.55,216.03,24.55,1
54.65,119.47,36.88,1
19.26,199.05,33.41,1
14.19,123.03,27.08,0
15.37,150.05,8.32,0
84.99,309.53,17.13,1
52.94,217.03,19.4,0
27.45,209.49,13.09,0
75.45,253.66,6.86,1
19.13,101.93,25.21,0
33.84,193.62,33.98,0
12.32,82.84,18.53,0
73.2,233.19,36.63,1
17.78,123.44,9.63,0
18.14,137.5,12.6,0
47.32,350.53,24.92,1
2.9,176.78,17.62,0
9.76,96.7,32.49,0
59.93,101.38,29.69,1
15.16,152.42,18.36,0
152.67,198.18,10.25,1
40.67,365.8,17.14,1
6.03,127.48,30.08,1
99.4,311.27,33.18,1
40.64,93.14,17.66,1
30.78,202.08,6.83,0
40.53,277.77,9.28,0
5.97,185.46,28.79,1
34.71,237.49,18.18,1
16.18,178.47,18.44,1
33.05,132.79,12.47,0
24.15,96.59,12.32,0
38.95,119.16,36.3,1
27.43,356.93,29.34,1
22.86,168.77,15.79,0
14.56,264.53,23.92,0
6.3,96.55,26.23,1
4.81,200.71,52.19,1
10.12,79.17,11.68,0
56.66,167.31,26.04,1
13.78,110.64,36.21,1
19.71,328.14,49.01,1
19.88,96.86,15.31,0
24.48,208.01,18.05,0
49.8,214.55,32.66,1
27.21,83.14,8.22,0
64.41,315.89,27.45,1
10.25,278.38,55.0,0
59.69,205.97,29.02,1
91.51,223.62,4.48,1
34.36,70.72,13.59,0
12.82,63.1,15.6,0
50.52,159.34,40.61,1
34.84,105.38,20.85,1
44.17,256.18,6.91,0
65.74,114.61,22.21,0
25.49,71.22,24.74,0
22.21,196.35,16.81,0
172.62,330.83,12.19,1
51.0,191.12,55.0,1
73.94,270.27,36.27,0
63.06,148.52,38.01,1
74.58,174.23,20.88,1
45.31,200.64,15.16,1
68.39,214.17,17.31,1
19.82,94.33,9.61,0
6.11,237.85,51.66,0
15.55,72.63,21.36,0
30.94,135.69,45.56,0
27.75,87.69,17.81,0
35.0,443.33,29.24,1
18.8,153.05,25.51,0
3.49,71.09,8.95,0
24.9,122.25,55.0,1
8.93,162.94,18.12,0
33.84,244.98,10.97,1
46.93,119.04,32.8,1
24.49,300.4,22.86,0
12.04,143.23,27.82,1
36.41,211.49,24.18,0
178.89,271.58,4.86,1
50.98,297.69,13.3,1
53.79,214.58,12.98,1
22.37,110.77,37.71,0
16.66,117.38,23.35,0
74.7,290.42,30.21,1
1.96,171.46,18.78,0
18.28,125.4,31.02,1
105.81,314.84,20.9,1
32.22,183.28,20.03,0
7.08,38.82,25.41,0
47.97,167.7,24.18,0
24.63,237.65,55.0,1
5.33,329.14,13.21,0
41.44,104.68,8.27,0
36.88,242.0,27.48,1
35.24,165.87,14.41,1
50.45,106.37,4.41,0
11.26,70.58,11.34,0
44.65,109.53,55.0,1
38.97,83.06,12.99,0
73.61,126.03,6.41,1
18.06,151.81,55.0,1
82.74,113.94,11.05,1
62.29,135.15,55.0,1
31.21,132.6,18.3,0
35.23,108.39,55.0,1
2.24,50.47,19.77,0
34.45,162.54,29.34,1
59.25,131.41,21.17,1
27.43,103.45,19.86,0
73.48,189.79,26.22,1
48.58,231.4,29.93,1
127.81,211.81,25.1,1
19.23,106.08,23.66,0
55.24,109.65,14.48,1
9.21,220.85,21.64,0
29.54,158.99,51.53,1
50.7,254.69,14.07,1
57.74,280.73,26.66,1
25.69,108.95,43.15,0
79.08,440.35,30.07,1
91.09,286.34,37.93,1
19.43,156.66,10.94,0
30.3,118.46,26.69,1
27.79,107.18,19.2,1
22.36,149.63,19.69,0
87.23,233.1,49.2,1
86.54,111.73,19.87,1
28.57,124.95,27.18,1
55.04,197.24,6.42,1
72.89,235.31,55.0,1
41.87,157.63,36.74,1
26.81,186.36,22.11,0
18.2,97.69,18.69,0
58.87,216.05,31.77,1
10.06,154.9,42.86,1
27.41,248.37,55.0,1
23.62,307.58,36.08,1
9.41,233.46,23.85,0
32.27,139.37,39.12,1
29.78,86.4,35.25,0
14.89,87.72,23.9,0
84.97,364.58,34.68,1
59.17,190.45,34.32,1
35.67,183.91,22.04,1
65.72,269.56,16.61,1
76.88,203.43,32.7,1
87.62,331.04,11.76,1
19.13,71.04,10.09,0
65.7,232.57,27.42,1
29.88,358.78,32.21,1
40.78,295.35,27.31,1
20.01,283.04,29.01,0
34.37,82.66,31.9,1
66.37,209.8,49.3,1
103.02,220.24,36.42,1
31.77,104.3,35.82,0
15.35,160.14,26.23,1
113.45,170.45,26.79,1
18.46,177.8,20.99,0
6.29,75.26,28.53,1
21.45,176.14,11.38,0
74.29,149.11,49.42,1
17.36,120.67,13.5,0
11.79,109.14,36.38,1
37.92,153.7,46.05,1
103.06,226.04,36.33,1
49.25,146.88,55.0,1
9.89,74.05,5.09,0
140.46,369.87,17.28,1
45.03,171.19,45.64,1
69.11,215.83,9.81,1
7.74,105.39,13.77,1
124.9,540.23,30.79,1
25.29,158.05,23.68,0
7.02,243.12,29.74,1
41.46,145.82,24.86,1
69.09,239.87,26.18,1
54.83,167.74,14.65,1
54.13,268.9,25.7,1
51.33,142.58,18.0,1
38.66,97.78,19.52,0
7.71,154.14,36.1,0
29.52,252.51,9.47,1
26.28,141.27,3.62,0
87.86,177.58,34.66,1
74.36,126.27,25.72,0
23.46,248.24,46.03,1
61.53,132.39,14.01,0
33.04,129.86,21.63,1
6.32,101.8,24.2,1
2.28,122.89,15.79,0
56.37,226.33,12.88,1
13.32,361.22,35.63,1
